,Title,Published_date,Views,Likes,Comments,Month
0,Hogyan nyaralj BUDAPESTEN!!,2016-08-31,233248,5604,485,Aug
1,Deszka Túra BARCELONÁBAN!!!,2016-08-18,256935,8514,1115,Aug
2,Kacsázás Pekingben - A Rally VÉGE! | Silkway Rally #6,2016-07-30,69829,1783,141,Jul
3,Kazah Síterep NYÁRON!! | Silkway Rally #5,2016-07-23,94166,2214,171,Jul
4,LÓHÚS van reggelire Kazahsztánban! | Silkway Rally #4,2016-07-20,118195,2354,247,Jul
5,"Az ember, aki ÁTSÉTÁLTA a Balatont!!",2016-07-15,593982,8979,460,Jul
6,EGY NAP RALLYZÁS a Selyemúton!! | Silkway Rally #3,2016-07-12,91237,2106,210,Jul
7,RALLY PILÓTA LETTEM!!! | Silkway Rally #2,2016-07-10,103143,2344,285,Jul
8,Moszkva - Peking Dodgem Küldetés INDUL!!!! | Silkway Rally #1,2016-07-07,70391,2284,210,Jul
9,Egy nap RESZKETÉS Vegasban!!!,2016-06-23,220390,3766,374,Jun
10,MINDENT a Fülöp-Szigetekről,2016-06-15,72875,1682,80,Jun
11,Az Óriások Szigetei és a Karma Küldetés | Fülöp-szigetek #5,2016-06-08,73998,1911,112,Jun
12,"A Tarantula Sziget, és Egyéb Őrültségek | Fülöp-szigetek #4",2016-05-25,104540,1920,68,May
13,Nitrogénrészeg Búvárkodás a Sötétben | Fülöp-szigetek #3,2016-04-14,127646,2859,225,Apr
14,Az Időjárás Istenei | Fülöp-szigetek #2,2016-04-07,126108,3242,230,Apr
15,Monszun és Gyümölcsfesztivál | Fülöp-szigetek #1,2016-03-30,117165,3421,150,Mar
16,Robogók és Rizspálinka - A Vietnám Küldetés,2016-03-16,325356,4255,196,Mar
17,Mindent Vietnámról | Vietnám #10,2016-03-11,86697,2707,138,Mar
18,Hanoi - Az Út vége | Vietnám #9,2016-03-03,86477,2713,107,Mar
19,Sámánisztikus véráldozat Sapaban | Vietnám #8,2016-02-24,95407,2768,267,Feb
20,Túra a hegyi törzsek földjén | Vietnám #7,2016-02-17,120158,3806,325,Feb
21,Hogyan lopták el vietnámi prostituáltak a telefonom | Vietnám #6,2016-02-03,149281,4238,169,Feb
22,Punk Légió Vs Kommunizmus | Vietnám #5,2016-01-27,158555,3455,208,Jan
23,KRAKEN vadászat Phu Quocon | Vietnám #4,2016-01-20,110962,3061,178,Jan
24,Reggeli méreg az Úszó Piacon | Vietnám #3,2016-01-05,137829,4172,335,Jan
25,Kókusz Kánaán a Mekong Deltában | Vietnám #2,2015-12-22,126522,4319,282,Dec
26,Motor Lavina Saigonban | Vietnám #1,2015-12-16,157203,6802,435,Dec
27,AFK Légió Csatorna Intro,2015-12-07,216953,6017,529,Dec
